# English-Russian dictionary created from OmegaWiki database
# Created on: 2011-04-05T22:49:33+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
9 ; nine	девять ; девять
Latin ; Latin	латинский ; латынь
Latvia ; Republic of Latvia	Латвия
Latvian ; Latvian	латышский
Lausanne	Лозанна
Lebanon ; Lebanese Republic	Ливан
Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg	Ленинград ; Петроград ; Санкт-Петербург
Leo	Лев
Lesotho ; Kingdom of Lesotho	Лесото
Liberia ; Republic of Liberia	Либерия
Libya ; Great Socialist People's Libyan Arab Jamahiriya	Ливия
Liechtenstein ; Principality of Liechtenstein	Лихтенштейн ; Княжество Лихтенштейн
Limburgish ; Limburgian	лимбургский
Lisbon	Лиссабон
Lithuania ; Republic of Lithuania	Литва
Lithuanian ; Lithuanian	литовский
London	Лондон
Lower House	Нижняя Палата
Lower Saxony	Нижняя Саксония
Luxembourg ; Grand Duchy of Luxembourg	Люксембург
Luxembourgish ; Luxemburgish ; Luxembourgian	люксембургский
Macedonia ; Republic of Macedonia	Македония
Macedonian ; Macedonian	македонский
Madagascar ; Republic of Madagascar	Мадагаскар
Malawi ; Republic of Malaŵi	Малави
Malayalam ; Malayalam	малайялам ; малаялам
Malaysia	Малайзия
Maldives ; Republic of the Maldives	Мальдивы
Mali ; Republic of Mali	Мали
Malta ; Republic of Malta	Мальта
Maltese	мальтийский
Marathi ; Marāthi ; Marāthi ; MarÄthi	маратхи
March	март
Markov chain ; Markoff chain	цепь Маркова
Marshall Islands ; Republic of the Marshall Islands	Маршалловы острова
Martinique	Мартиника
Mauritania ; Islamic Republic of Mauritania	Мавритания
Mauritius ; Republic of Mauritius	Маврикий
May	май
Mayotte	Майотта
Mecca	Мекка
Mediterranean Area	средиземноморский регион
Mediterranean Sea	Средиземное море
Mediterranean climate	средиземноморский климат
Mediterranean forest	средиземноморский лес
Mediterranean wood	средиземноморский лес
Mercury	Меркурий
Merry Christmas	С Рождеством Христовым
Mexico ; United Mexican States	Мексика
Micronesia ; Federated States of Micronesia	Микронезия
Milan	Милан
Milky Way ; Galaxy	Млечный Путь
Milwaukee	Милуоки
Moldova	Молдова
Monaco	Монако
Monday	понедельник
Mongolia	Монголия
Montenegro	Черногория
Montserrat	Монтсеррат
Morocco ; Kingdom of Morocco	Марокко
Moscow	Москва
Mount Fuji	Фудзи
Mozambique	Мозамбик
Mumbai ; Bombay	Бомбей ; Мумбаи
Munich	Мюнхен
Myanmar	Мьянма
NIMBY aptitude ; NIMBY attitude	принцип "Только не у меня дома!"
NOEL	"не имеет выраженного действия"
Nagorno-Karabakh	Нагорный Карабах
Nairobi	Найроби
Namibia	Намибия
Naples	Неаполь
Nauru ; Republic of Nauru	Науру
Neapolitan ; Neapolitan	неаполитанский
Nepal	Непал
Nepali ; Nepali	непальский
Neptune	Нептун
New Caledonia	Новая Каледония
New Year ; New Year's Day	Новый год
New York	Нью-Йорк
New Zealand	Новая Зеландия
Nicaragua	Никарагуа
Niger	Нигер
Nigeria	Нигерия
Niue	Ниуэ
North Africa	Северная Африка
North America	Северная Америка
North Atlantic Ocean	северная часть Атлантического океана
North Korea ; Democratic People's Republic of Korea	Северная Корея
North-South relationship	взаимоотношения "Север-Юг"
Northern Ireland	Северная Ирландия
Norway ; Kingdom of Norway	Норвегия
Norwegian	норвежский
November	ноябрь
Novial	новиаль
Nuuk	Нук
Nynorsk	нюнорск
Oceania	Океания
October	октябрь
Oman ; Sultanate of Oman	Оман
Orleans	Орлеан
Oslo	Осло
Pacific Ocean	Тихий океан
Pakistan ; Islamic Republic of Pakistan	Пакистан
Palau	Палау
Panama	Панама
Papua New Guinea	Папуа-Новая Гвинея
Paraguay	Парагвай
Parliament	парламент
People's Republic of China ; China	Китай
Persian ; Western Farsi ; Farsi	персидский ; фарси
Peru ; Republic of Peru	Перу
Philadelphia	Филадельфия
Philippines	Филиппины
Phobos	Фобос
Piedmontese ; Piedmontese ; Piemontese ; Piemontese	пьемонтезский
Poland	Польша
Polish ; Polish	польский
Portugal	Португалия
Portuguese ; Portuguese	португальский
Puerto Rico	Пуэрто-Рико
Punjabi ; Panjabi	панджаби ; пенджабский
Pyrrhic victory	пиррова победа
Qatar	Катар
Ramadan	Рамадан
Republic of the Congo ; Congo-Brazzaville	Республика Конго
Rhône	Рона
Romania	Румыния
Romanian ; Romanaian	румынский
Rome	Рим
Russia ; Russian Federation	Ryssland ; Россия ; Российская Федерация
Russian ; Russian	русский ; russo
Sagittarius	Стрелец
Saint-Pierre and Miquelon	Сен-Пьер и Микелон
Sakhalin ; Saghalien	Сахалин
Samoa	Самоа
San Marino	Сан Марино
Sanskrit ; Sanskrit	санскрит
Sapir–Whorf hypothesis	гипотеза Сепира-Уорфа
Saturday	суббота
Saturn	Сатурн
Saudi Arabia ; Kingdom of Saudi Arabia	Саудовская Аравия
Saxony	Саксония
Scorpio	Скорпион
Scotland	Шотландия
Seine	Сена
Senegal	Сенегал
September	сентябрь
Serbia	Сербия
Serbia and Montenegro	Сербия и Черногория
Serbian ; Serbian	сербский
Seychelles ; Republic of Seychelles	Сейшелы
Sicilian ; Sicilian	сицилийский
Sierra Leone	Сьерра-Леоне
Sindhi ; Sindhi	синдхи
Singapore	Сингапур
Slovak ; Slovak	словацкий
Slovakia	Словакия
Slovene ; Slovenian ; Slovenian	словенский
Slovenia	Словения
Sochi	Сочи
Solomon Islands	Соломоновы острова
South Africa	Южная Африка ; Южно-Африканская Республика ; ЮАР
South America	Южная Америка
South Korea ; Republic of Korea	Южная Корея
Southeast Asia	Юго-Восточная Азия
Southern Asia ; South Asia	Южная Азия
Spain	Испания
Sri Lanka	Шри-Ланка
Sudan	Судан
Sunday	воскресенье
Suriname	Суринам
Swahili	суахили
Sweden	Швеция
