# English-Russian dictionary created from OmegaWiki database
# Created on: 2011-04-05T22:49:33+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
9 ; nine	девять ; девять
halogenated phenol	галогенизированный фенол
halogenated pollutant	галогенизированное загрязняющее вещество
handicraft	ручная работа
handicraft business	кустарное производство
handkerchief	платок
harbour	бухта
hard-to-dispose-of waste	отходы, плохо поддающиеся переработке
hardness	твердость
harem	гарем
harmonisation of law	гармонизация права
harpoon	гарпун
harvest	урожай
hassium	xассий
hazard	опасность
hazard area	район, подверженный риску
hazard of pollutants	опасность загрязняющих веществ
hazardous chemical export	экспорт опасных химических веществ
hazardous substance	опасное вещество
hazardous substances legislation	законодательство, регулирующее обращение с загрязняющими веществами
hazardous waste	опасные отходы
hazardous waste dump	свалка опасных отходов
hazardous working material	опасный рабочий материал
haze	дымка
he	он
head	голова
headland	мыс
headland	поворотная полоса (с/х) ; поворотная полоса
health	здоровье
health care	здравоохранение
health care profession	профессия в области здравоохранения
health effect of noise	воздействие шума на здоровье
health facility	учреждение здравоохранения
health hazard	опасность здоровью
health legislation	законодательство в области здравоохранения
health regulation	нормативный документ в области здравоохранения
health service	услуги здравоохранения
health-environment relationship	взаимосвязь здоровья и окружающей среды
health-related biotechnology	биотехнология в области здоровья
hearing	слух
hearing acuity	острота слуха
hearing impairment	потеря слуха
hearing procedure	процедура слушания
hearing protection	защита слуха
hearing system	органы слуха
heart	сердце
heat	тепло
heat and power station	теплоэлектростанция
heat pump	тепловой насос
heat storage	хранение тепла
heat supply	обеспечение теплом
heater	нагревательный прибор
heathen ; infidel ; pagan	язычник
heathland	вересковые пустоши
heating	теплоснабжение
heating plant	теплостанция
heaven ; sky	небо
heavy goods vehicle traffic	крупнотоннажный грузовой автотранспорт
heavy metal	тяжелый металл
heavy metal load	загрязнение тяжелыми металлами
hedge	живая изгородь
hedgehog	ёж
hegemony	гегемония
helicopter	вертолёт
helium	гелий
hello ; hey ; hi ; howdy	привет ; здравствуйте ; добрый день
herbicide	гербицид
herbivore ; plant eater	травоядное животное
heroin	героин
heron	цапля
heterocyclic compound	гетероциклическое вещество
high mountain	высокая гора
high tide water	уровень прилива
high voltage line	высоковольтная линия
high-rise building	высотное здание
high-speed railway	высокоскоростная железная дорога
high-speed train	скоростной поезд
higher education	высшее образование
highway	шоссе
hiking trail	туристическая тропа
historic centre	исторический центр
historical evolution	эволюция в процессе истории
historical monument	исторический памятник
historical research	исследование истории
historical site	историческое место
historiography	историография
history	история
holiday ; opor-garai	отпуск
holiday camp	место отдыха
holmium	гольмий
home ; home ; house	дом
home garden	личный огород
homeostasis	гомеостаз
homepage	домашняя страница в Интернете
homologation	признание действительным
homonym	омоним
honey	мёд
hope	надежда
horizon	горизонт
hormone	инкреть
horse	лошадь
horticulture	огородничество
hospital ; clinic	больница
hospital waste	отходы больниц
hostage	заложник
hot water	горячая вода
hotel industry	гостиничная индустрия
hour	час
household	семья
household chemical	бытовой химикат
household expenditure	расходы семейного бюджета
household goods	бытовые товары
housing	дома и жилищное строительство
housing density	плотность городской застройки
housing improvement	улучшение качества жилища
housing legislation	законодательство в области жилищного строительства
housing programme	программа жилищного строительства
housing quality standard	стандарт качества жилища
human body	человеческое тело
human disease	болезни человека
human ecology	экология человека
human habitat	среда обитания человека
human health	здоровье человека
human migration	миграция людей
human physiology	физиология человека
human population	население
human rights	гражданские права
human science	науки о человеке
human settlement	населенный пункт
human settlement management	управление населенными пунктами
human-made disaster	бедствия ; бедствия, вызванные деятельностью человека ; вызванные деятельностью человека
humanitarian aid	гуманитарная помощь
humus	гумус
hundred	сто
hunger ; hunger ; hunger	голод ; голод ; голод
hunting	охота
hunting licence	лицензия на охоту
hunting reserve	охотничий заказник
hurricane	ураган
husband ; spouse	муж
hybridisation	гибридизация
hydraulic construction	гидравлическая конструкция
hydraulic engineering	строительство гидросооружений
hydraulics	гидравлика
hydrobiology	гидробиология
hydrocarbon	углеводород
hydrocarbon storage tank	хранилище углеводородных материалов
hydrochloric acid ; muriatic acid	соляная кислота
hydroculture	гидрокультура
hydroelectric energy	энергия ГЭС
hydroelectric power plant	гидроэлектростанция
hydrogen	водород
hydrogen sulphide	сероводород
hydrogeology	гидрогеология
hydrographic basin	гидрографический бассейн
hydrographic network	гидрографическая система
hydrography	гидрография
hydrologic balance	гидрологический баланс
hydrologic cycle	гидрологический цикл
hydrologic disaster	гидрологическое бедствие
hydrologic flow	расчет гидрологического потока
hydrology	гидрология
hydrolysis	гидролиз
hydrometeorology	гидрометеорология
hydrometry	гидрометрия
hydrosphere	гидросфера
hygiene	гигиена
hymenopteran	перепончатокрылые
hypertext	гипертекст
ice	лед
ice cream	мороженое
ice pack	паковый лед
iceberg	айсберг
ideology	идеология
image classification	классификация изображений
image enhancement	усиление изображений
image filtering	фильтрация изображений
image processing digital system	цифровая система обработки изображений
image registration	регистрация изображений
immission	иммиссия
immission control	контроль за иммиссией
immission control law	закон, регулирующий контроль за иммиссией
immission damage	ущерб в результате иммиссии
immission forecast	прогноз иммиссии
immission limit	лимит иммиссии
immission load	иммиссионная нагрузка
immune system	иммунная система
immunity	иммунитет
immunoassay	иммунопроба
immunological disease	иммунологическое заболевание
immunology	иммунология
impact assessment	оценка воздействия, экологическая экспертиза
impact minimisation	минимизация отрицательного воздействия
impact prevention	предотвращение отрицательного воздействия на окружающую среду
impact reversal	обратное воздействие
impact source	источник отрицательного воздействия
impactor	импактор
implementation law	законы, регулирующие реализацию
import	импорт
import licence	импортная лицензия
impoverishment	обнищание
impregnating agent	пропитывающее вещество
impregnation	пропитка
improvement of efficiency	повышение эффективности
impulsive noise	импульсные помехи
in situ	"на месте" ; на месте
in vitro assay	испытание в искусственной среде
in vivo assay	испытание на живом организме
incentive fund	фонд экономического стимулирования
incentive tax	стимулирующий налог
incidental pollution	загрязнение в результате аварии
incineration	сжигание
incineration of waste	сжигание отходов
incineration residue	остатки после сжигания отходов
incinerator	мусоросжигатель
income	доход
income tax	подоходный налог
incorporation	объединение
indefinite legal concept	неопределенная правовая концепция
indemnity	компенсация
independence	независимость
index	перечень
indexing of documentation	индексация документации
indicator	показатель
indicator of environmental quality	показатель качества окружающей среды
indigenous knowledge	врожденное знание
indigenous technology	технология, приемлемая для местных условий
indirect discharger	скрытый источник стоков
indium	индий
individual wastewater treatment	индивидуальная система очистки стоков
indoor air pollution	загрязнение воздуха в помещении
indoor environment	окружающая среда помещений
industrial activity	промышленная деятельность
industrial area	промышленный район
industrial association	промышленная ассоциация
industrial building	производственное здание
industrial crop	промышленная культура
industrial development	промышленное развитие
industrial dumping	сброс промышленного мусора
industrial economics	экономика промышленности
industrial effluent	промышленные стоки
industrial emission	газообразные промышленные выбросы
industrial environment	промышленная среда
industrial environmental policy	промышленная политика в области окружающей среды
industrial equipment	промышленное оборудование
industrial installation	промышленная установка
industrial legislation	законодательство, регулирующее деятельность промышленности
industrial manufacturing	промышленное производство
industrial material	промышленный материал
industrial medicine	производственная медицина
industrial noise	промышленный шум
industrial planning	промышленное планирование
industrial plant (building) ; industrial plant	промышленное предприятие (здание) ; промышленное предприятие
industrial plant (organism) ; industrial plant	техническая сельскохозяйственная культура
industrial policy	промышленная политика
industrial pollution	загрязнение от промышленной деятельности
industrial process	промышленный процесс
industrial product	промышленный продукт
industrial production	промышленное производство
industrial production statistics	статистика промышленного производства
industrial property right	права на промышленную собственность
industrial safety	техника безопасности на производстве
industrial site	промышленная площадка
industrial sludge	промышленный отстой
industrial society	промышленное общество
industrial structure	структура промышленности
industrial waste	промышленные отходы
industrial waste gas	газообразные промышленные отходы
industrial waste water	сточные промышленные воды
industrial wasteland	заброшенная промышленная территория
industrial zoning	промышленное районирование
industrialisation	индустриализация
industry	промышленность
inert waste	инертные отходы
inertisation	инертизация
infant	ребенок
infant mortality	детская смертность
infection	инфекция
infectious disease	инфекционное заболевание
infectious disease ; communicable diseases	инфекционные заболевания
infestation of crops	инвазия посевов сельскохозяйственных культур
infestation of food	инвазия продуктов питания
infiltration	инфильтрация
inflammable substance	легковоспламеняющееся вещество
inflation	инфляция
inflow	приток воды
info ; information	информация
informal negotiation	неформальные переговоры
informatics ; computer science ; information science	информатика
information centre	информационный центр
information clearing-house	центр анализа и синтеза информации
information exchange	обмен информацией
information infrastructure	информационная инфраструктура
information kit	подборка информации
information network	информационная сеть
information processing	обработка информации
information service	информационная услуга
information source	источник информации
information system	информационная система
information technology ; IT	информационная технология
information technology industry	индустрия информационных технологий
information transfer	передача информации
infraction	нарушение (юридич.) ; нарушение
infrared radiation	инфракрасное излучение
infrasound	инфразвук
infrastructure	инфраструктура
inhabitant	житель
initial training	начальное образование
injury	повреждение
ink	чернила
inland fishery	рыбная ловля на внутренних водоемах
inland navigation	навигация по внутренним водным путям
inland water	внутренние водоемы
inland waterways transport	транспортировка по внутренним водным путям
innovation	инновация
inorganic chemistry	неорганическая химия
inorganic fertiliser	неорганическое удобрение
inorganic pollutant	неорганическое загрязняющее вещество
inorganic substance	неорганическое вещество
insect	насекомое
insecticide	инсектицид
insectivore	насекомоядное
insoluble substance	нерастворимое вещество
inspection	инспекция
inspection of records	проверка записей
inspection service	инспекционная служба
installation optimisation	оптимизация установок
installation requiring approval	установка, требующая специального разрешения
installation restoration	ремонт технических установок
instep	подъём
institutional activity	ведомственная деятельность
institutional structure	организационная структура
institutionalisation	институционализация
instrument ; musical instrument	инструмент
instrument manufacture	производство инструментов
instrumentation	оснащение контрольно-измерительными приборами и средствами
insulation	изоляция
insurance	страхование
insurance business	страховой бизнес
insurance coverage	действие страховки
integral natural reserve	комплексный природный заповедник
integrated environmental protection technology	интегрированная природоохранная технология
integrated management	интегрированный менеджмент
integrated pest control	интегрированная система контроля за вредителями
integrated pollution control	интегрированная система контроля за загрязнением окружающей среды
intensive animal husbandry	интенсивное животноводство
intensive farming	интенсивное фермерское хозяйство
inter-library loan	выдача по межбиблиотечному обмену
interaction of pesticides	взаимодействие пестицидов
interchange of electronic data	обмен электронными данными
interdisciplinary research	междисциплинарные исследования
interest	банковский процент
interest group	группа по интересам
interim decision	промежуточное решение
interlaboratory comparison	внутрилабораторные сравнения результатов исследований
intermediate goods	полуфабрикаты
intermittent noise	прерывистый звук
internal European market	внутренний европейский рынок
internal migration	внутренняя миграция
internalisation of external costs	внутренний экономический учет возможного экологического ущерба
international agreement	международное соглашение
international assistance	международная помощь
international balance	международный баланс
international co-operation	международное сотрудничество
international competitiveness	международная конкурентоспособность
international conflict	международный конфликт
international convention	международная конвенция
international distribution	международное распределение
international division of labour	международное разделение труда
international economic law	международный экономический закон
international environmental relations	международные отношения по вопросам окружающей среды
international harmonisation	международная гармонизация
international law	международное право
international organisation	международная организация
international politics	международная политика
international relations	международные отношения
international safety	международная безопасность
international standardisation	международная стандартизация
international trade	международная торговля
international transaction	международная сделка
international watercourse	международный водный путь
internationally important ecosystem	экосистема международного значения
internet search service	информационное обслуживание на базе Интернета
internet service provider ; ISP ; Internet access provider ; Internet service provider	провайдер услуг Интернета
interpolation	интерполяция
interpretation method	метод интерпретации
intertidal zone	зона приливов и отливов
intervention fund	фонд непредвиденных расходов
intervention in nature and landscape	вмешательство в природный ландшафт
intervention on land	вмешательство на суше
intoxication	интоксикация
introduction of animal species	заселение видов животных
introduction of plant species	заселение видов растений
inventory	опись
inventory of forest damage	инвентаризация ущерба, нанесенного лесам
inversion	инверсия
inversion layer	инверсионный слой
invertebrate	беспозвоночное
investment	инвестиция
iodine	йод
ion	ион
ion exchange	ионный обмен
ion exchanger	ионообменник
ionising radiation	ионизирующее излучение
ionosphere	ионосфера
iridium	иридий
iron	железо
iron and steel industry	производство чугуна и стали
iron industry	черная металлургия
iron scrap	металлический скрап
ironwork industry	производство чугуна
irradiation	облучение
irreversibility of the phenomenon	необратимость какого-либо явления
irrigation	ирригация ; орошение
irrigation farming	ирригационное земледелие
irrigation system	ирригационная система
island ; isle	остров
island ecosystem	островная экосистема
isomer	изомер
isotope	изотоп
ivory	слоновая кость
jackal	шакал
jade	нефрит
jaguar	ягуар
jazz	джаз
joint ; articulation	сустав
joint debtor	коллективный должник
joint implementation	совместное исполнение
journal ; mag ; magazine ; periodical	журнал
journalism	журналистика ; журнализм
journalist	журналист
judgement (sentence) ; sentence ; judgement	приговор
judicial assistance	судебная помощь
judicial body	судебный орган
judicial system	судебная система
judiciary rule	правила судопроизводства
judo	дзюдо
juridical act	юридический акт
jurisdiction	юрисдикция
jurisprudence	юриспруденция
justice	правосудие
karate	каратэ
karst	карст
kerosene	керосин
keyboard	клавиатура
kidney	почка
kilogram	килограмм
kleptomania	клептомания
knife	нож
knight ; knight	конь
krypton	криптон
labelling	маркировка
laboratory	лаборатория
laboratory experiment	лабораторный эксперимент
laboratory research	лабораторное исследование
laboratory technique ; laboratory techniques	лабораторный метод
laboratory test	лабораторный опыт
laboratory waste	отходы лабораторий
labour	труд
labour force	рабочая сила
labour law	трудовое право
labour market	рынок труда
labour relations	трудовые отношения
lacquer	лак
lagoon	лагуна
lagooning	система прудов для очистки сточных вод
lake	озеро
lake basin	озерный бассейн
lake pollution	загрязнение озер
lamp ; light	лампа
land	земля
land allotment	отвод земельных участков
land clearing	расчистка земель
land conservation	сохранение земель
land consolidation	укрупнение земель
land cover	земляной покров
land development	развитие земель
land disposal	утилизация мусора в землю
land ecology	экология земли
land forming	формирование земель
land mammal	сухопутное млекопитающее
land management and planning	планирование и управление землепользованием
land occupation	расселение на суше
land planning	планирование земель
land pollution	загрязнение земель
land reclamation	мелиорация земель
land register	регистр земель
land restoration	рекультивация земель
land restoration in mountain areas	восстановление земли в горных районах
land setup	региональное планирование
land tax	налог на землю
land transportation	сухопутный транспорт
land use	землепользование
land use classification	классификация землепользования
land use plan	план использования земли
land use planning	планирование землепользования
land use regime	режим использования земли
land value	цена земли
land-based activity	хозяйственная деятельность на суше
land-based marine pollution	загрязнение моря в результате хозяйственной деятельности на суше
land-management intervention area	район с правом проведения проверки использования земли
landfill	мусорная яма
landfill base sealing	гидроизоляция мусорной ямы
landfill covering	засыпка мусорной ямы
landfill degasification	отвод газа из мусорной ямы
landfill gas	биогаз
landfill leachate	жидкость, образовавшаяся в мусорной яме
landform	форма земной поверхности
landscape	ландшафт
landscape after mining	ландшафт земной поверхности после завершения горных работ
landscape alteration	изменение ландшафта
landscape architecture	ландшафтная архитектура
landscape component	компонент ландшафта
landscape conservation	сохранение ландшафта
landscape conservation policy	политика сохранения ландшафта
landscape consumption	изменение ландшафта в результате его использования
landscape ecology	экология ландшафта
landscape management	управление ландшафтом
landscape planning	планирование ландшафта
landscape protection	защита ландшафта
landscape protection area	зона защиты ландшафта
landscape utilisation	использование ландшафта
landslide	оползень
lantern	фонарь
lanthanum	лантан
large combustion plant	крупный промышленный завод, работающий на основе сжигания топлива
laser ; Light Amplification by Stimulated Emission of Radiation	лазер
latitude	широта
laugh	смеяться
laundering	прачечные
lavender ; lavander	лаванда
law	закон
law	право
law ; law (science)	право ; право (научн.)
law amendment	изменение закона
law branch	отрасль права
law draft	проект закона
law enforcement	приведение в исполнение закона
law relating to prisons	закон, регламентирующий работу тюрем
lawrencium	лоуренсий
lawyer	адвокат
leaching	выщелачивание
lead	свинец
lead compound	соединение свинца
lead level in blood	уровень свинца в крови
lead-in-petrol law	закон об уровне содержания свинца в автомобильном топливе
leaf	лист
leakage	протечка
lease	аренда
leather	кожа
leather industry	кожевенная промышленность
leg	нога
legal basis	юридическая основа
legal form of organisations	юридическая форма организаций
legal procedure	юридическая процедура
legal profession	юрист как профессия
legal regulation	правовое постановление, нормативный документ
legal remedy	юридическое средство
legal system	юридическая система
legal text	юридический текст
legally protected right	право, охраняемое законом
legislation	законодательство ; законотворческая деятельность
legislation on pollution	законодательство по вопросам загрязнения окружающей среды
legislative authority	полномочие на законодательную деятельность
legislative competence	законодательная правоспособность
legislative information	информация о законодательстве
legislative procedure	законодательная процедура
legislature	законодательная власть
leisure activity	отдых
leisure centre	центр досуга и отдыха
leisure time	время отдыха
lemon	лимон
lens	линза
lentil	цечевица
leopard	леопард
lepidopteran	чешуйчатокрылые
less developed country	наименее развитая страна
letter	буква
lettuce	салат
leukaemia	лейкемия
level of education	уровень образования
levy	сбор
lexicon	лексикон
liability	ответственность
liability legislation	законы, регулирующие ответственность
liberalism	либерализм
library	библиотека
library service	библиотечное обслуживание
licencing procedure	процедура лицензирования
lichen	лишайник
life cycle	жизненный цикл
life science	науки о жизни
life-cycle management	управление жизненным циклом продукта
lifeguard	лейб-гвардия
lifestyle	стиль жизни, образ жизни ; стиль жизни ; образ жизни
light	свет
lighting	освещение
lignite	лигнит
lignite mining	добыча лигнита
lime	известь
limestone	известняк
limit value	предельная величина
limnology	лимнология
line	линия вектора
line source	линейный источник
linear source of sound	линейный источник звука
liner material	гидроизоляционный материал
linguistics	лингвистика
lion	лев
lip	губа
lipid	липид
lipophilic substance	липофильное вещество
lipstick	помада
liquefied gas	сжиженный газ
liquid	жидкость
liquid manure	жидкий навоз
liquid state	состояние жидкости
liquid waste	жидкие отходы
literature	литература
literature data bank	литературный банк данных
literature evaluation	оценка литературы
literature study	исследование литературы
lithium	литий
lithography	литография
lithosphere	литосфера
litigation	судебный процесс
litter	подстилка для скота
little finger ; pinkie	мизинец
littoral	литораль
liver	печень
livestock	домашний скот
livestock breeding	разведение домашнего скота
livestock farming	разведение домашнего скота на фермах
living condition	условия жизни
living environment	жизненная среда
living space	жизненное пространство
living standard	стандарт жизни
lizard	ящерица
load bearing capacity	допустимая нагрузка
local afforestation	местное облесение
local authority	местная власть
local development	развитие регионов
local finance	финансирование на местном уровне
local government	местное правительство
local government policy	политика местных властей
local heat supply	местное теплоснабжение
local passenger service	местный пассажирский транспорт
local recreation	отдых в конкретной местности
local resource utilisation	использование местных ресурсов
local traffic	местный транспорт
location of industries	размещение предприятий
locomotive	локомотив
locust	саранчук
lodging	услуги по проживанию
long-distance traffic	движение транспорта дальнего следования
long-distance transport	транспорт дальнего следования
long-term effect	долгосрочное воздействие
long-term experiment	долгосрочный эксперимент
longitude	долгота
lorry	грузовой автомобиль
loss	убыток
loss of biotope	потеря биотопа
loudness	громкость
love	любовь
love	любить
low flow	минимальный речной сток
low-cost housing	низкозатратное жилищное строительство
low-level flight	полет на малой высоте
low-level technology	технология низкого уровня
lubricant	смазка
lumberjack	лесоруб
luminosity	освещенность
lunch ; lunch ; lunch ; lunch ; luncheon	обед ; обед ; обед ; обед ; обед
lung	лёгкое
lutetium	лютеций
lux	люкс
lye	щелок
lymphatic system	лимфатическая система
lynx	рысь
lysimetry	лизиметрия
machine gun	пулемёт
machine manufacture	производство машин и механизмов
machinery ; mechanism	машины и оборудование
mackerel	скумбрия ; макрель
macroeconomic goal	макроэкономическая цель
macroeconomics	макроэкономика
macrophyte	макрофит
macroscopic	макроскопический
magnesium	магний
magnetic tape	магнитная лента
magnetism	магнетизм
maintenance (technical) ; maintenance	содержание и техническое обслуживание
maintenance of environment	сохранение окружающей среды
major accident	крупная авария
major risk	высокий уровень риска
major risk installation	объект с высокой степенью риска
malaria	малярия
malformation	порок развития
malnutrition	недоедание
mammal	млекопитающее
man	человек
man-made climate change	изменение климата как следствие деятельности человека
management	управление
management accounting	управление финансовой отчетностью
management contract	контракт на управление
management of natural resources	управление природными ресурсами
management plan	план управления
management technique	метод управления
mandarin ; Mandarin ; Standard Mandarin	мандаринский
mandate	мандат
manganese	марганец
mango	манго
mangrove	мангровый лес
manpower	рабочая сила
manufacturing activity	производственная деятельность
manufacturing trade	торговля промышленными товарами и товарами производственного назначения
manure	навоз
manure production	производство навоза
map	карта
map chart	карта-график
mapping	картография
mapping of lichens	составление карт лишайников
maquis	маквис
marble	мрамор
mare	кобыла
marginal land	маргинальная земля
mariculture	морская культура
marina	шлюпочная гавань
marine biology	морская биология
marine ecology	экология моря
marine ecosystem	морская экосистема
marine engineering	производство энергетического оборудования для судов
marine environment	морская окружающая среда
marine fauna	морская фауна
marine fishery	морская рыбная ловля
marine geology	морская геология
marine mammal	морское млекопитающее
marine monitoring	мониторинг моря
marine organism	морской организм
marine park	морской парк
marine pollution	загрязнение моря
marine reserve	морской заповедник
marital status	семейное положение
maritime law	морское право
maritime navigation	морская навигация
maritime transport	морской транспорт
marker	индикатор
market ; marketplace	рынок
market economy	рыночная экономика
market form	организация рынка
market gardening	производство овощей и фруктов для продажи
market price	рыночная цена
market research	исследование рынка
market study	изучение рынка
marketing	маркетинг
marsh	болото
marsupial	сумчатые
mason ; bricklayer ; stonemason	каменщик
masonry	каменная кладка
mass media	средства массовой информации
mass recreation	массовый отдых
mass transport	движение масс
material ; materials	материал ; материалы
material life cycle	жизненный цикл материала
materials science	материаловедение
mathematical analysis	математический анализ
mathematical method	математический метод
mathematics	математика
mausoleum	мавзолей
maximum admissible concentration	максимально допустимая концентрация
maximum immission concentration	максимальная концентрация иммиссии
mayonnaise	майонез
mayor	мэр
meadow	луг
means of agricultural production	средства сельскохозяйственного производства
means of communication	средства связи
measuring	измерение
measuring instrument	измерительный инструмент
measuring method	метод измерений
measuring programme	программа измерений
meat	мясо
mechanical equipment	механическое оборудование
mechanical industry	производство механических приборов
mechanical vibration	механическая вибрация
medical science	медицинская наука
medicinal plant	лекарственное растение
medicine ; medicine (practice)	медицина
megabyte	мегабайт
meitnerium	мейтнерий
melody ; tune	мелодия
melting	таяние
membrane	мембрана
mendelevium	менделевий
menorah	менора
merchant	торговец
merchant shipping	торговое мореплавание
mercury	ртуть
metabolism	метаболизм
metabolite	метаболит
metainformation	метаинформация
metal	металл
metal oxide	оксид металла
metal product	металлический продукт
metal products industry	производство металлических изделий
metal waste	металлические отходы
metallic mineral	металлосодержащий минерал
metallurgical industry	металлургия
metallurgy	mеталлургия
metaphysics	метафизика
meteor ; meteor ; meteor ; meteor ; meteor ; shooting star ; falling star	метеор ; метеор ; метеор ; метеор ; метеор
meteorite	метеорит
meteorological disaster	стихийное бедствие, связанное с атмосферными процессами
meteorological parameter	метеорологический параметр
meteorological phenomenon	метеорологический феномен
meteorological research	метеорологические исследования
meteorology	метеорология
methane ; marsh gas ; methyl hydride	метан
methanisation	метанирование
methanol	метанол
method	метод
methodology	методология
metrology	метрология
metronome	метроном
metropolis	метрополия
micro-organism	микроорганизм
microbiological analysis	микробиологический анализ
microbiology	микробиология
microclimate	микроклимат
microclimatology	микроклиматология
microcomputer	микрокомпьютер
microecosystem	микроэкосистема
microelectronics ; microminiaturization ; microsystem electronics	микроэлектроника
microfiltration	микрофильтрация
microphone	микрофон
micropollutant	микрозагрязняющее вещество
microscopy	микроскопия
microwave	микроволна
migrant labour	мигрирующая рабочая сила
migratory bird	мигрирующая птица
migratory fish	мигрирующая рыба
military activities	военные действия
military air traffic	движение военного воздушного транспорта
military aspects	военные аспекты
military equipment	военное оборудование
military zone	военная зона
